"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.00885661130927e-19,2.84132943541469,0.015,0.004,1.00437893539742e-14,"4","Olfr1211"
1.20109591658784e-16,2.74628748402874,0.019,0.007,3.00922570941918e-12,"4","Olfr1264"
7.52552283006384e-15,2.68924258852032,0.01,0.002,1.88544448984419e-10,"4","Nhlh1"
5.41503737659668e-13,2.41289503990111,0.012,0.004,1.35668346433253e-08,"4","Olfr55"
3.22872315988002e-15,2.38202652540812,0.015,0.005,8.0892430047634e-11,"4","Olfr281"
5.8691620132504e-07,0.45546751918413,0.052,0.037,0.0147045985079975,"5","Fmn1"
3.55422378051425e-07,0.420995121387015,0.08,0.061,0.00890475225970041,"5","C230072F16Rik"
6.45169168071939e-07,0.251703002009759,0.192,0.165,0.0161640683368744,"5","Senp1"
7.88185647981782e-96,4.7368767936479,0.034,0.002,1.97472032245356e-91,"13","Sprr1a"
5.99414269219485e-29,3.12894921429635,0.015,0.002,1.5017725101025e-24,"13","Uox"
5.28360808848256e-59,3.03215822765354,0.03,0.004,1.32375517048842e-54,"13","Rbm44"
8.02196282752478e-132,2.70956624474154,0.086,0.016,2.00982256680806e-127,"13","Mustn1"
0,2.69312870011271,0.242,0.05,0,"13","S100a6"
1.75816381234706e-29,0.949281522272778,0.155,0.088,4.40490361545432e-25,"17","Col27a1"
3.90538262608294e-25,0.842264867726648,0.155,0.092,9.78454563138821e-21,"17","Nppc"
1.08149104160756e-37,0.810469052387911,0.256,0.16,2.70956765564358e-33,"17","Nphs1"
1.49793846949491e-09,0.792066586490194,0.062,0.037,3.75293504147254e-05,"17","Mmel1"
1.7299899809525e-07,0.768279195162825,0.041,0.024,0.00433431689827839,"17","Adamts15"
