"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.29195736873988,0.977,0.251,0,"0","Umodl1"
0,2.24183647531531,0.974,0.257,0,"0","Adcy3"
0,2.36456686505989,0.971,0.256,0,"0","Spef2"
0,2.3035848066379,0.958,0.245,0,"0","Cnga2"
0,2.8103862428005,0.989,0.277,0,"0","Dcdc2a"
0,2.0778622977779,0.981,0.274,0,"0","Clgn"
0,2.06814165604034,0.971,0.269,0,"0","Cntn4"
0,2.63699736215385,0.913,0.213,0,"0","Efna3"
0,2.1582155641162,0.977,0.282,0,"0","1700012B09Rik"
0,2.12069014792459,0.959,0.266,0,"0","Pcolce2"
0,1.93585062811181,0.962,0.269,0,"0","Syt1"
0,2.08522715893573,0.978,0.288,0,"0","Flrt1"
0,2.11330526640524,0.954,0.266,0,"0","Jakmip1"
0,1.83147074199691,0.952,0.264,0,"0","Ric8b"
0,2.60652358993852,0.891,0.206,0,"0","Lrguk"
0,2.37223053549135,0.915,0.232,0,"0","Gramd1c"
0,2.08525742426013,0.939,0.259,0,"0","Acbd7"
0,2.26192980178569,0.993,0.318,0,"0","Scn9a"
0,2.25097122349703,0.904,0.229,0,"0","Acsl6"
0,2.16926127281893,0.939,0.264,0,"0","Tom1"
0,1.69457327352281,0.935,0.261,0,"0","Ctxn3"
0,1.85369165531491,0.982,0.308,0,"0","Plekhb1"
0,2.47535726393732,0.874,0.2,0,"0","Cnga4"
0,1.76548550441131,0.919,0.248,0,"0","Nrn1l"
0,1.87540156187696,0.915,0.248,0,"0","Tmem74bos"
0,2.22170608507287,0.888,0.222,0,"0","Fam81b"
0,1.70102079832477,0.96,0.295,0,"0","Elavl3"
0,1.99585353314681,0.934,0.269,0,"0","Tspan7"
0,2.02300177058379,0.919,0.255,0,"0","Cfap69"
0,1.79316589006186,0.99,0.329,0,"0","Aplp1"
0,1.9827228461825,0.896,0.236,0,"0","Faim2"
0,2.20532790321478,0.902,0.246,0,"0","Manea"
0,2.4384993138506,0.843,0.191,0,"0","Gm11992"
0,2.05507112895085,0.871,0.22,0,"0","Kcnc4"
0,2.11636160130133,0.891,0.241,0,"0","Oscp1"
0,2.20539501043469,0.866,0.219,0,"0","Ttll6"
0,2.30501506366735,0.849,0.204,0,"0","Cngb1"
0,3.523862335886,0.763,0.118,0,"0","B830017H08Rik"
0,2.02502753331778,0.897,0.253,0,"0","Pde4a"
0,1.89563680127584,0.919,0.275,0,"0","Tspyl4"
0,1.53199122542846,0.935,0.292,0,"0","Ebf2"
0,2.39320156222245,0.828,0.186,0,"0","Slc1a2"
0,1.48097966747021,0.946,0.304,0,"0","Uchl1"
0,2.35476482784323,0.843,0.202,0,"0","Cartpt"
0,2.08683297933861,0.937,0.301,0,"0","Pde6d"
0,1.8026278799321,0.96,0.325,0,"0","Igsf8"
0,1.7853487288007,0.895,0.263,0,"0","Ak1"
0,2.0013593373584,0.916,0.287,0,"0","Klhl5"
0,2.02395380462978,0.872,0.244,0,"0","Hist2h2be"
0,2.03616299640509,0.883,0.255,0,"0","Impdh1"
0,1.95432433905342,0.87,0.242,0,"0","Lrriq1"
0,1.47655863316875,0.893,0.267,0,"0","Lhx2"
0,2.26421476496097,0.951,0.327,0,"0","Sgpl1"
0,1.76681431753745,0.939,0.315,0,"0","Nrxn1"
0,1.75021542321854,0.932,0.31,0,"0","Rufy3"
0,2.22647042001553,0.998,0.376,0,"0","Stom"
0,2.46336234079962,0.795,0.174,0,"0","A730046J19Rik"
0,2.10772552395103,0.838,0.218,0,"0","Rtp1"
0,2.09802655505055,0.988,0.369,0,"0","Rtn1"
0,1.69642320490553,0.888,0.271,0,"0","Ebf3"
0,2.02012585830268,0.855,0.238,0,"0","Them6"
0,1.63896286197196,0.905,0.291,0,"0","Syt11"
0,2.06631740948857,0.845,0.231,0,"0","Spock1"
0,1.6787067384186,0.991,0.378,0,"0","Ttll7"
0,1.78675860057377,0.904,0.291,0,"0","Rab6b"
0,2.06761623024181,0.828,0.215,0,"0","Carns1"
0,2.2626554197153,0.82,0.208,0,"0","Cacnb3"
0,1.72624960767546,0.857,0.248,0,"0","Uncx"
0,1.94040852960998,0.884,0.275,0,"0","Gpm6a"
0,2.20143169366601,0.811,0.203,0,"0","Clstn2"
0,1.50373390210144,0.91,0.303,0,"0","Tesc"
0,1.98895645112073,0.838,0.231,0,"0","Fam92b"
0,1.74361753622854,0.873,0.267,0,"0","Trnp1"
0,1.95363560338512,0.839,0.235,0,"0","Mapk8ip2"
0,1.77181281682408,0.989,0.386,0,"0","Serpine2"
0,1.39664598696053,0.854,0.254,0,"0","Fgf12"
0,1.8851299406828,0.946,0.347,0,"0","Prnp"
0,2.42958927166049,0.78,0.182,0,"0","Ephx4"
0,1.37349573963821,0.864,0.268,0,"0","Stmn3"
0,1.71816390232137,0.871,0.275,0,"0","Ank2"
0,1.9114322982643,0.984,0.388,0,"0","Prxl2b"
0,1.64841179304354,0.836,0.241,0,"0","Snap25"
0,1.5827782854689,0.992,0.398,0,"0","Olfm1"
0,1.92879455816499,0.909,0.316,0,"0","Rap1gds1"
0,2.23955671087009,0.993,0.4,0,"0","Sult1d1"
0,2.07578608254495,0.802,0.212,0,"0","Ppp1r14c"
0,1.87626168874872,0.852,0.263,0,"0","Eml2"
0,1.60624504043994,0.872,0.283,0,"0","Homer2"
0,2.06174908899387,0.786,0.199,0,"0","Ano2"
