p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
0,3.523862336,0.763,0.118,0,0,B830017H08Rik,Calb2+ Olfactory Sensory Neurons
0,3.434778726,0.635,0.064,0,0,Calb2,
0,3.33613678,0.423,0.049,0,0,Kirrel3,
0,3.086585042,0.532,0.14,0,0,Nqo1,
0,3.052252382,0.422,0.06,0,0,Rims3,
0,2.184781426,0.772,0.184,0,1,A730046J19Rik,Olfactory Sensory Neurons
0,2.177881543,0.913,0.241,0,1,Gramd1c,
0,2.164698375,0.808,0.204,0,1,Ano2,
0,2.155043009,0.374,0.084,0,1,Scgn,
0,2.131332298,0.8,0.196,0,1,Slc1a2,
0,6.532597013,0.353,0.005,0,2,Acaa1b,Resting Basal Cells
0,6.142848249,0.518,0.009,0,2,Serpinb5,
0,5.784872351,0.852,0.033,0,2,Krt15,
0,4.933433075,0.681,0.028,0,2,Anxa8,
0,4.900243072,0.603,0.019,0,2,Defb1,
0,5.017585623,0.986,0.04,0,3,C1qa,Fcrls+Trem2+ Macrophages
0,4.979017649,0.986,0.042,0,3,C1qb,
0,4.875710632,0.893,0.034,0,3,Ms4a7,
0,4.853969064,0.98,0.038,0,3,C1qc,
0,4.732057975,0.569,0.03,0,3,Slamf9,
0,2.132831597,0.757,0.181,0,4,5730403I07Rik,Dlg2+ Olfactory Sensory Neurons
0,2.103297994,0.323,0.072,0,4,Kcnmb3,
0,1.98699983,0.326,0.079,0,4,Lrrc3b,
0,1.980297361,0.766,0.178,0,4,Kirrel2,
0,1.968620506,0.493,0.125,0,4,Chgb,
0,2.877264562,0.277,0.04,0,5,Hectd2os,Dlg2+ Olfactory Sensory Neurons
0,2.639752212,1,0.492,0,5,S100a5,
0,2.633555034,0.409,0.07,0,5,Kcnmb3,
0,2.544454242,0.418,0.076,0,5,Lrrc3b,
0,2.520579854,0.317,0.057,0,5,Rgs7,
0,7.968744295,0.438,0.003,0,6,Fcer2a,B Cells
0,7.592142841,0.703,0.009,0,6,Ighd,
0,6.738474168,0.624,0.009,0,6,Fcmr,
0,6.075723924,0.572,0.016,0,6,Bank1,
0,5.82158572,0.535,0.018,0,6,H2-Ob,
0,9.358777283,0.254,0.001,0,7,Ncr1,Gzma++Cma1+ Natural Killer Cells
0,9.186476476,0.31,0.001,0,7,Prf1,
0,9.182214935,0.284,0.001,0,7,Klrb1c,
0,8.888762091,0.336,0.001,0,7,Xcl1,
0,8.852975596,0.341,0.004,0,7,Gzma,
0,11.12181251,0.463,0.001,0,8,Gpihbp1,Fabp4+ Capillary Cells
0,9.941329588,0.331,0.001,0,8,Rbp7,
0,9.039420322,0.838,0.006,0,8,Emcn,
0,8.941132827,0.269,0.002,0,8,Btnl9,
0,8.366294595,0.31,0.002,0,8,Exoc3l2,
0,7.200004181,0.489,0.008,0,9,Ifi205,IFN-Stim Monocytes
0,6.276695996,0.287,0.006,0,9,Cd209a,
0,5.624233561,0.402,0.011,0,9,Phf11a,
0,5.470960845,0.307,0.008,0,9,Cxcl9,
0,5.227285611,0.71,0.055,0,9,Ms4a4c,
0,6.755834313,0.909,0.043,0,10,Gap43,Differentiating Olfactory Sensory Neurons
0,5.683071105,0.573,0.016,0,10,Stk32a,
0,5.154397528,0.585,0.027,0,10,Ly6h,
0,5.101728471,0.348,0.011,0,10,Prph,
0,4.989254299,0.58,0.028,0,10,Insm1,
0,6.447899736,0.354,0.006,0,11,Adgre4,Non-Classical Monocytes
0,5.965441408,0.262,0.006,0,11,Treml4,
0,5.75840727,0.339,0.011,0,11,Ear2,
0,5.635444658,0.598,0.019,0,11,F13a1,
0,5.544401321,0.321,0.007,0,11,F10,
0,9.384216604,0.284,0.001,0,12,Dpep1,Fibroblasts
0,9.313243667,0.805,0.021,0,12,Apod,
0,9.268653012,0.55,0.003,0,12,Ecrg4,
0,9.203731739,0.298,0.001,0,12,Dpt,
0,9.040310822,0.273,0.001,0,12,Hhip,
0,4.502166387,0.863,0.148,0,13,Dlg2,Dlg2+ Olfactory Sensory Neurons
0,4.225036477,1,0.501,0,13,S100a5,
0,4.207209529,0.256,0.016,0,13,S100a3,
0,3.638991479,1,0.355,0,13,Pcp4l1,
0,3.502316243,0.301,0.036,0,13,Nphs1,
0,8.070078324,0.335,0.001,0,14,Car10,Igfbp2+Nrcam+ Basal Cells
0,7.379441417,0.653,0.006,0,14,Abca4,
0,7.257115198,0.796,0.013,0,14,Nrcam,
0,6.225812943,0.636,0.012,0,14,Vit,
0,6.151786135,0.526,0.01,0,14,Slc47a1,
0,8.066168669,0.301,0.002,0,15,Siglecf,Mature Neutrophils
0,6.145517661,0.696,0.025,0,15,Il1r2,
0,6.121975924,0.762,0.018,0,15,Cxcr2,
0,5.834660171,0.741,0.039,0,15,Csf3r,
0,5.807999,0.319,0.016,0,15,Acod1,
0,6.73960812,0.93,0.02,0,16,Fcrls,Fcrls+Trem2+ Macrophages
0,5.57792392,0.5,0.015,0,16,P2ry12,
0,5.438591549,0.784,0.026,0,16,Pf4,
0,5.333490574,0.66,0.024,0,16,Gpr34,
0,5.308067369,0.896,0.048,0,16,Trem2,
0,3.247761958,0.798,0.157,0,17,Dlg2,Dlg2+ Olfactory Sensory Neurons
0,3.194380217,0.36,0.046,0,17,Hectd2os,
0,3.115488864,1,0.507,0,17,S100a5,
0,2.980723582,0.997,0.362,0,17,Pcp4l1,
0,2.972569387,0.256,0.04,0,17,Nphs1,
0,9.652268494,0.342,0.001,0,18,Gp2,Gp2+Lyz2+ Goblet/Secretory Cells
0,6.614062293,1,0.073,0,18,Reg3g,
0,5.832109342,0.899,0.049,0,18,Serpinb11,
0,5.807217684,0.745,0.021,0,18,Gabrp,
0,5.726910834,0.743,0.022,0,18,Kcnj16,
0,7.598577854,0.566,0.004,0,19,Tac1,Cxcl17+Ccl9+ Serous Cells
0,5.89671893,1,0.092,0,19,Wfdc18,
0,5.857414217,0.578,0.013,0,19,Barx2,
0,5.605759324,0.795,0.027,0,19,Cited4,
0,5.359815044,0.254,0.033,0,19,Lcn11,
0,9.554592708,0.505,0.001,0,20,Kl,Lyz2+Cpxm2+ Ionocytes
0,9.465355156,0.912,0.005,0,20,Smbd1,
0,9.425825031,0.752,0.002,0,20,Clcnka,
0,9.406255521,0.911,0.006,0,20,Ascl3,
0,9.325454619,0.892,0.005,0,20,Galnt13,
0,8.761514407,0.286,0.001,0,21,Rag1,B Cell Progenitors/Immature B Cells
0,6.375982105,0.933,0.04,0,21,Vpreb3,
0,6.290712067,0.521,0.016,0,21,Iglc1,
0,6.206636745,0.414,0.012,0,21,Fam129c,
0,5.545556474,0.561,0.022,0,21,Spib,
0,9.139343112,0.565,0.003,0,22,Neurod1,Neural Progenitors
0,8.391948491,0.301,0.001,0,22,Neurog1,
0,8.199179507,0.528,0.003,0,22,Grp,
0,7.132019049,0.305,0.003,0,22,St18,
0,6.985597098,0.524,0.009,0,22,Scg2,
0,10.51108185,0.889,0.008,0,23,Chil6,Pparg+Muc5b+ Goblet/Secretory Cells
0,10.07461055,0.32,0.002,0,23,Slc22a20,
0,8.04363212,0.974,0.03,0,23,Vmo1,
0,7.817636264,0.575,0.004,0,23,Ggt1,
0,7.601480529,0.764,0.011,0,23,C2cd4b,
